2026-02-18,Acme Rail Systems,hr@acmerail.com,Electrical Engineer,Chicago,MMIS/SCADA ops role
2026-02-18,NorthLine Projects,careers@northline.com,Project Engineer,Lombard,PM + site coordination
2026-02-18,Metro Transit,careers@metrotransit.com,Electrical Engineer,Chicago,Transit ops; SCADA/MMIS
2026-02-18,BrightWorks,talent@brightworks.com,Project Engineer,Lombard,Project/site coordination
2026-02-18,South Shore Electric,hr@sselectric.com,Electrical Engineer,Chicago,SCADA / maintenance
2026-02-18,Kettle Engineering,hr@kettleeng.com,Electrical Engineer,Chicago,Panels / testing
2026-02-18,DuPage Projects,apply@dupageproj.com,Project Engineer,Lombard,Site + PM
2026-02-18,PowerGrid Corp,hr@powergrid.com,Electrical Engineer,Chicago,Panels / SCADA
2026-02-18,Lombard Tech,apply@lombardtech.com,IT Engineer,Lombard,Linux + support
2026-02-18,Metro Power,hr@metropower.com,Electrical Engineer,Chicago,Power distribution
2026-02-18,Great Lakes Projects,talent@glprojects.com,Project Engineer,Lombard,Site coordination
2026-02-18,WindCity IT,careers@windcityit.com,IT Engineer,Chicago,Linux support
2026-02-18,ABC Utilities,hr@abcutils.com,Electrical Engineer,Chicago,Power systems
2026-02-19,Acme Rail Systems,hr@acmerail.com,Electrical Engineer,Chicago,MMIS/SCADA ops role
2026-02-19,NorthLine Projects,careers@northline.com,Project Engineer,Lombard,PM + site coordination
2026-02-19,Metro Transit,careers@metrotransit.com,Electrical Engineer,Chicago,Transit ops; SCADA/MMIS
2026-02-19,BrightWorks,talent@brightworks.com,Project Engineer,Lombard,Project/site coordination
2026-02-19,South Shore Electric,hr@sselectric.com,Electrical Engineer,Chicago,SCADA / maintenance
2026-02-19,Kettle Engineering,hr@kettleeng.com,Electrical Engineer,Chicago,Panels / testing
2026-02-19,DuPage Projects,apply@dupageproj.com,Project Engineer,Lombard,Site + PM
2026-02-19,PowerGrid Corp,hr@powergrid.com,Electrical Engineer,Chicago,Panels / SCADA
2026-02-19,Lombard Tech,apply@lombardtech.com,IT Engineer,Lombard,Linux + support
2026-02-19,Metro Power,hr@metropower.com,Electrical Engineer,Chicago,Power distribution
2026-02-19,Great Lakes Projects,talent@glprojects.com,Project Engineer,Lombard,Site coordination
2026-02-19,WindCity IT,careers@windcityit.com,IT Engineer,Chicago,Linux support
2026-02-19,ABC Utilities,hr@abcutils.com,Electrical Engineer,Chicago,Power systems
2026-02-20,Acme Rail Systems,hr@acmerail.com,Electrical Engineer,Chicago,MMIS/SCADA ops role
2026-02-20,South Shore Electric,hr@sselectric.com,Electrical Engineer,Chicago,SCADA / maintenance
2026-02-20,PowerGrid Corp,hr@powergrid.com,Electrical Engineer,Chicago,Panels / SCADA
2026-02-20,Acme Rail Systems,hr@acmerail.com,Electrical Engineer,Chicago,MMIS/SCADA ops role
2026-02-20,South Shore Electric,hr@sselectric.com,Electrical Engineer,Chicago,SCADA / maintenance
2026-02-20,PowerGrid Corp,hr@powergrid.com,Electrical Engineer,Chicago,Panels / SCADA
2026-02-20,Lombard Tech,apply@lombardtech.com,IT Engineer,Lombard,Linux + support
